image_id,category,num_dominant_colors,color_entropy,hue_mean,saturation_mean,saturation_std,value_mean,value_std,lightness_contrast,hue_contrast,warm_color_ratio,color_harmony,edge_density,edge_orientation_entropy,glcm_contrast,glcm_energy,glcm_homogeneity,glcm_correlation,gray_mean,gray_std,gradient_energy,gray_entropy,symmetry,rule_of_thirds,center_offset_x,center_offset_y,whitespace_ratio,fg_bg_ratio,diagonal_energy_ratio,text_coverage,text_block_count,font_size_cv,has_text,saliency_mean,saliency_std,num_salient_regions,saliency_entropy,num_saliency_peaks,saliency_coverage
X_opencv_S100_R000,internal_opencv,2,0.3218263862410674,6.582855224609375,11.30194091796875,39.048529766137165,230.70797729492188,4.457942277671053,9.190200087312322,0.5925925925925926,0.91778564453125,0.7777777777777778,0.0087890625,2.005500830440479,0.8309520538371102,0.9170936859361328,0.9871666234236031,0.9732716346512612,227.5172119140625,15.470855179983241,3.8049471347841806,0.3332490921020508,0.9395948752992472,0.8355481262584703,-0.006686545821581125,-0.002188008098155003,0.712890625,0.31325531005859375,0.9103921253495618,0.0087890625,8,0.8930697885924374,1,0.19663679599761963,0.19740988314151764,10,12.052151679992676,36,0.16546630859375
X_opencv_S100_R001,internal_opencv,2,0.4370108855093591,8.067680358886719,15.951168060302734,49.11878030641695,227.0412712097168,15.811238293490103,19.855397266553215,0.5925925925925926,0.89654541015625,0.8333333333333334,0.00954437255859375,2.0145804349363563,1.9681415842954522,0.8943971950564963,0.9853815933689529,0.9797175198016409,223.1693344116211,27.387688835427518,5.969385830954997,0.5601531863212585,0.9166771670029108,0.9294874578749917,-0.21639262515393054,-0.17177523373458403,0.6863021850585938,0.3058319091796875,1.0298810322320546,0.00954437255859375,8,0.8977281210717861,1,0.10410100221633911,0.1510469615459442,12,11.73164176940918,79,0.11127090454101562
X_opencv_S100_R002,internal_opencv,2,0.43886749133248315,6.788288116455078,12.01125717163086,40.65373813478897,225.77094650268555,20.98157796574471,24.03771739974679,0.5555555555555556,0.9141082763671875,0.8888888888888888,0.008941650390625,2.00138444690554,3.06417969827087,0.9116498507104205,0.9861867658180216,0.9731309960299086,223.18510818481445,29.675387037581768,7.267233858710485,0.5128182768821716,0.9347632821208651,0.8803487745117738,-0.10454094601712438,-0.08396338808560277,0.7059478759765625,0.32666015625,0.9345231962877165,0.008941650390625,8,0.8714397990047891,1,0.0891478955745697,0.12178293615579605,10,11.822040557861328,83,0.11412811279296875
X_opencv_S100_R003,internal_opencv,1,0.6181095428929355,9.752456665039062,20.01986312866211,57.494831867082944,215.67344665527344,46.08157991678891,48.88576337717166,0.6296296296296297,0.8802032470703125,0.7222222222222222,0.00988006591796875,2.021989017570843,6.776688054669826,0.8779004603309424,0.9844530323205486,0.980624589831745,213.30955123901367,52.41685397104243,11.332962455216144,0.6572498083114624,0.8769814546363416,0.945893025909107,-0.24330219400567088,-0.20957990463921572,0.6796951293945312,0.2907981872558594,0.9514469474908462,0.00988006591796875,8,0.7643172019289317,1,0.12073870003223419,0.1766384094953537,13,11.698991775512695,127,0.11932754516601562
X_opencv_S100_R004,internal_opencv,2,0.5440218332221244,7.2338104248046875,13.030387878417969,43.05761690754635,215.5439910888672,53.14555276169504,57.76939787839261,0.4444444444444444,0.9375762939453125,0.8333333333333334,0.00919342041015625,2.0100035551481588,10.465961556735197,0.9044229924296944,0.9852660459204876,0.9744547868241286,214.43624114990234,56.69529346983154,13.698787781666356,0.5677833557128906,0.9161315603484773,0.9033500748261208,-0.1730598503612173,-0.1118788799011683,0.6969833374023438,0.3178825378417969,0.9031517766383984,0.00919342041015625,8,0.8532890951432386,1,0.11612889170646667,0.1587020307779312,8,11.7898588180542,66,0.11851119995117188
X_opencv_S100_R005,internal_opencv,2,0.39079731563036346,7.409202575683594,13.45193099975586,43.71388856887629,228.03860473632812,13.052005230841546,16.83194963661605,0.5925925925925926,0.9073333740234375,0.7777777777777778,0.0092315673828125,2.008508083669247,1.6882419034183391,0.9063112312691586,0.9859896382723752,0.9761122287941,224.70608520507812,23.73004311385909,5.5908827785139925,0.4057551920413971,0.903509615255699,0.8861849649324718,-0.13194366313873485,-0.0821897520927991,0.696929931640625,0.3518714904785156,1.0650431824148536,0.0092315673828125,8,0.8643199920909401,1,0.13824056088924408,0.1777561753988266,4,11.800216674804688,73,0.1342620849609375
X_opencv_S100_R006,internal_opencv,1,0.32588540622392925,6.450145721435547,11.309051513671875,39.24364064604656,226.1512451171875,20.188154882771652,22.830141285857078,0.5925925925925926,0.91790771484375,0.8333333333333334,0.00872802734375,1.9980509016717107,2.8817924501177132,0.9157471750664659,0.9865243280624783,0.9723444865843085,223.78750228881836,28.34974600696645,6.973252836777704,0.42647048830986023,0.9135904449962334,0.8510687855283883,-0.047849569747426046,-0.023586543389049086,0.71295166015625,0.3574790954589844,0.9438138991066825,0.00872802734375,8,0.8816612825705286,1,0.1579281985759735,0.18652747571468353,6,11.866460800170898,56,0.15439605712890625
X_opencv_S100_R007,internal_opencv,1,0.5021652974360431,7.86163330078125,15.905384063720703,49.27472411788021,218.81840133666992,40.23684979852936,42.35011844611502,0.6296296296296297,0.89666748046875,0.9444444444444444,0.00954437255859375,2.0169269912825794,6.167794516239601,0.8943946071325634,0.9848874456173878,0.9778481969088163,216.7246971130371,46.54317884225422,10.668819230479986,0.586533784866333,0.8872060883570675,0.89562501549575,-0.13277165996831974,-0.11670435489520048,0.6860275268554688,0.3469123840332031,1.0558732937428268,0.00954437255859375,8,0.840874278521553,1,0.15372821688652039,0.1927587389945984,9,11.790144920349121,108,0.15082550048828125
X_opencv_S100_R008,internal_opencv,2,0.4677528818107666,6.116298675537109,11.6148681640625,39.80759336648043,217.00657653808594,50.45219336551906,52.51376757604355,0.6296296296296297,0.9143524169921875,0.8888888888888888,0.00891876220703125,2.003662021055961,9.533119822802451,0.9126902994364159,0.9857569256627154,0.9730266214444206,216.28285217285156,52.88981406742964,12.969267616909924,0.45836788415908813,0.9137235221888027,0.8577967596478195,-0.07583876585544214,-0.024350097133214677,0.7059707641601562,0.3537445068359375,0.9060908856767309,0.00891876220703125,8,0.9194101383915673,1,0.11748605966567993,0.14759257435798645,4,11.820411682128906,78,0.14508819580078125
X_opencv_S100_R009,internal_opencv,1,0.6420414640115616,7.350040435791016,20.179767608642578,57.75771545959907,228.10120391845703,13.347317729768365,22.678024454892547,0.2222222222222222,0.9023284912109375,1.0,0.0098724365234375,2.0174738655311346,1.8770755501340854,0.8774031379601401,0.9851345448947222,0.9794455578075114,222.93608856201172,26.34974069976389,5.68916817013109,0.6846863031387329,0.9021678781884388,0.8971999840834367,-0.1488558360145903,-0.10858725625388377,0.6776237487792969,0.29669952392578125,0.8371613799683612,0.0098724365234375,8,0.8415308478275011,1,0.1159534603357315,0.16689062118530273,9,11.686088562011719,99,0.14330673217773438
