image_id,canny_edge_density,multiscale_lab_residual_entropy,jpeg_bytes_per_pixel_q90,hasler_susstrunk_colourfulness,global_luminance_cv,horizontal_mirror_similarity
X_opencv_S100_R000,0.0087890625,2.292110210976168,0.046817779541015625,36.40088205147553,0.06799874417512546,0.9954053691789215
X_opencv_S100_R001,0.00954437255859375,2.7368869092617087,0.05316162109375,37.74645996608273,0.12272179394922131,0.9733340394263174
X_opencv_S100_R002,0.008941650390625,2.7817780732793063,0.05364227294921875,27.40647543751136,0.13296336785373264,0.989322946585861
X_opencv_S100_R003,0.00988006591796875,3.2466933556862667,0.059780120849609375,20.898732772639384,0.24573186547005552,0.9326321770163143
X_opencv_S100_R004,0.00919342041015625,3.1587499029572577,0.056125640869140625,6.854154266779092,0.2643928158029888,0.969137633080576
X_opencv_S100_R005,0.0092315673828125,2.7819270063654185,0.048168182373046875,35.15161127212168,0.1056050100013829,0.9810580384497549
X_opencv_S100_R006,0.00872802734375,2.690115791230547,0.04929351806640625,26.227794711081387,0.12668178423736287,0.983351972991345
X_opencv_S100_R007,0.00954437255859375,3.2383319989899912,0.05590057373046875,20.41533596857736,0.21475756218176262,0.9530186372644761
X_opencv_S100_R008,0.00891876220703125,3.15399700501637,0.052555084228515625,7.477161357694427,0.24454049137822356,0.9727123784083946
X_opencv_S100_R009,0.0098724365234375,3.0013396485488424,0.05437469482421875,45.05785574279806,0.11819437188483793,0.9609734030330882
X_opencv_S100_R010,0.009784698486328125,2.9331245195500157,0.053127288818359375,32.91212338509258,0.18600076394078793,0.9193959853228401
X_opencv_S100_R011,0.00921630859375,3.028815256027281,0.053127288818359375,18.954061132052285,0.19347909571186975,0.9503267475202972
X_opencv_S100_R012,0.00872802734375,3.07177086785178,0.05202484130859375,7.692901454667184,0.23680769728916204,0.9459984274471507
X_opencv_S100_R013,0.0095367431640625,2.6907779678639274,0.052486419677734375,42.46209838499956,0.1044144861521858,0.9605229396446079
X_opencv_S100_R014,0.008941650390625,2.7712364610935976,0.05135345458984375,31.64446335961126,0.11526516295704023,0.9691206688974418
X_opencv_S100_R015,0.00897216796875,2.9179830662799517,0.050445556640625,18.33514385594808,0.18172926222255795,0.9248143813189338
X_opencv_S100_R016,0.009593963623046875,3.275252243969709,0.056446075439453125,8.232527561614338,0.3063452282362351,0.8579966227213541
X_opencv_S100_R017,0.00923919677734375,2.4709319064977797,0.04868316650390625,41.319374055059725,0.08200658112772395,0.9631967282762715
X_opencv_S100_R018,0.00876617431640625,2.6508955425408036,0.049190521240234375,32.276924059930636,0.0962404443318836,0.9720275280522365
X_opencv_S100_R019,0.009490966796875,3.0397955341370992,0.054889678955078125,28.335794929432296,0.1884823535752648,0.9169190051508884
X_opencv_S100_R020,0.009490966796875,3.2657694976378413,0.054584503173828125,7.762343644909146,0.27799154607101073,0.8535016228170956
X_opencv_S100_R021,0.00833892822265625,2.2401164060883385,0.04389190673828125,36.98104780548259,0.07173204882796222,0.9734052770278033
X_opencv_S100_R022,0.00927734375,2.8404204353325766,0.052516937255859375,43.006435798881455,0.14774095555402858,0.9286338955748314
X_opencv_S100_R023,0.009052276611328125,2.8807194833380474,0.0536956787109375,26.938353941034826,0.16584020637698685,0.9264043770584406
X_opencv_S100_R024,0.008419036865234375,2.8369896448354375,0.050251007080078125,16.32569250825536,0.18233684839270572,0.9167674943512562
X_opencv_S100_R025,0.0091094970703125,2.8810393900849527,0.050823211669921875,33.374569269234215,0.09689695491521834,0.991922565535003
X_opencv_S100_R026,0.01009368896484375,3.192057091113584,0.05837249755859375,33.02912820831224,0.18518888495215513,0.9462363149605545
X_opencv_S100_R027,0.009246826171875,3.2019543272696294,0.057430267333984375,19.42152988740455,0.19347322206744957,0.9767530254289216
X_opencv_S100_R028,0.0089111328125,3.294059119947265,0.056491851806640625,7.553503494528694,0.23855975486267805,0.9839198692172182
X_opencv_S100_R029,0.009632110595703125,2.9746240675658244,0.05805206298828125,42.19214621032362,0.11203680507846217,0.9722564996457568
X_opencv_S100_R030,0.009521484375,3.1067978561530176,0.053131103515625,30.317636434330556,0.15823944116577346,0.9619001500746783
X_opencv_S100_R031,0.0092620849609375,3.1351105797784458,0.05316925048828125,18.368412301825373,0.18161773366974535,0.9789410460229013
X_opencv_S100_R032,0.0098724365234375,3.5297362317112495,0.059173583984375,8.57880480853359,0.30651808439478856,0.9182538500019148
X_opencv_S100_R033,0.00928497314453125,2.773144747623113,0.052799224853515625,38.552496290664045,0.08925376429122671,0.9807890349743413
X_opencv_S100_R034,0.00888824462890625,2.917907385879073,0.051792144775390625,30.311264235167876,0.10873362702248489,0.9838017183191636
X_opencv_S100_R035,0.0087890625,3.0872808272754853,0.051044464111328125,17.897723005812168,0.17578997086449621,0.9540007048962162
X_opencv_S100_R036,0.009494781494140625,3.417474068825516,0.056713104248046875,7.778337930604016,0.2778458568271923,0.9228427662568934
X_opencv_S100_R037,0.009128570556640625,2.596042250928709,0.05047607421875,37.862583185565484,0.07617751084586741,0.9794798308727788
X_opencv_S100_R038,0.009979248046875,3.307461073638034,0.056461334228515625,39.63907838201054,0.1970478642553509,0.917170057109758
X_opencv_S100_R039,0.009189605712890625,3.118856927208127,0.055141448974609375,27.913918679139567,0.15207651624236687,0.959319320379519
