renderer,descriptor,target,is_predeclared_nominal_pair,n_images,n_seed_clusters,rho,cluster_ci_lower,cluster_ci_upper
Pillow_G-test,canny_edge_density,structural_clutter_index,True,6250,10,0.662899858308854,0.6562175137677227,0.6707107074550474
Pillow_G-test,canny_edge_density,geometric_order_index,False,6250,10,-0.011146417389889742,-0.02123117809436212,-0.002127654384982558
Pillow_G-test,canny_edge_density,palette_coherence_index,False,6250,10,0.2191557841381307,0.20344446680197545,0.23572209295159274
Pillow_G-test,canny_edge_density,visual_salience_index,False,6250,10,0.529524047537231,0.5176264094351182,0.540820280130026
Pillow_G-test,canny_edge_density,focal_hierarchy_index,False,6250,10,0.7461651817227853,0.7393756722567794,0.753680907226522
Pillow_G-test,multiscale_lab_residual_entropy,structural_clutter_index,True,6250,10,0.5330940100500826,0.5199715070165165,0.5477981452437225
Pillow_G-test,multiscale_lab_residual_entropy,geometric_order_index,False,6250,10,-0.06907344299509868,-0.08430753889266016,-0.05517275703679156
Pillow_G-test,multiscale_lab_residual_entropy,palette_coherence_index,False,6250,10,0.07555082517091115,0.06228099003318447,0.08933505856279884
Pillow_G-test,multiscale_lab_residual_entropy,visual_salience_index,False,6250,10,0.41152431010054114,0.3980846862314386,0.4250034032284659
Pillow_G-test,multiscale_lab_residual_entropy,focal_hierarchy_index,False,6250,10,0.5846873500364308,0.5700422437859163,0.6009959462005974
Pillow_G-test,jpeg_bytes_per_pixel_q90,structural_clutter_index,True,6250,10,0.48461864106831926,0.46980392348003674,0.500343049274262
Pillow_G-test,jpeg_bytes_per_pixel_q90,geometric_order_index,False,6250,10,-0.05263174364585137,-0.06993191069774919,-0.03369791462472615
Pillow_G-test,jpeg_bytes_per_pixel_q90,palette_coherence_index,False,6250,10,0.07003215668746197,0.058534103442976805,0.08081338735132997
Pillow_G-test,jpeg_bytes_per_pixel_q90,visual_salience_index,False,6250,10,0.33813463496885443,0.32891231740304694,0.3478142112373223
Pillow_G-test,jpeg_bytes_per_pixel_q90,focal_hierarchy_index,False,6250,10,0.5304191877305426,0.5196479627512739,0.5422673531685281
Pillow_G-test,hasler_susstrunk_colourfulness,structural_clutter_index,False,6250,10,0.2725591437185116,0.2581052281860997,0.28742206221698635
Pillow_G-test,hasler_susstrunk_colourfulness,geometric_order_index,False,6250,10,-0.009777785156738869,-0.032670118062851465,0.014108843636577875
Pillow_G-test,hasler_susstrunk_colourfulness,palette_coherence_index,True,6250,10,-0.18401815431214266,-0.21221925297269265,-0.15795414591921908
Pillow_G-test,hasler_susstrunk_colourfulness,visual_salience_index,False,6250,10,-0.010317081827309648,-0.028671116115096394,0.0065176618084790226
Pillow_G-test,hasler_susstrunk_colourfulness,focal_hierarchy_index,False,6250,10,0.27545000795799707,0.2573466609029717,0.2924881552393649
Pillow_G-test,global_luminance_cv,structural_clutter_index,False,6250,10,0.3793348510022547,0.36457445166245994,0.3944242097163441
Pillow_G-test,global_luminance_cv,geometric_order_index,False,6250,10,0.00042571872669504773,-0.025646026683070672,0.029573384953552592
Pillow_G-test,global_luminance_cv,palette_coherence_index,False,6250,10,-0.001913581636684541,-0.03103206844368282,0.03241219400659587
Pillow_G-test,global_luminance_cv,visual_salience_index,True,6250,10,0.2652154753604604,0.2437421728757413,0.286168795458945
Pillow_G-test,global_luminance_cv,focal_hierarchy_index,False,6250,10,0.4470655289893946,0.42754887683090903,0.4641590939199968
Pillow_G-test,horizontal_mirror_similarity,structural_clutter_index,False,6250,10,-0.12413624929147814,-0.1406966453280115,-0.10831282210984214
Pillow_G-test,horizontal_mirror_similarity,geometric_order_index,True,6250,10,0.31848909080940946,0.2927179688048286,0.3441105581306739
Pillow_G-test,horizontal_mirror_similarity,palette_coherence_index,False,6250,10,-0.0432191019740221,-0.06703845900494211,-0.01738998360745504
Pillow_G-test,horizontal_mirror_similarity,visual_salience_index,False,6250,10,0.08869540485422944,0.05889673618350142,0.11444512074983529
Pillow_G-test,horizontal_mirror_similarity,focal_hierarchy_index,False,6250,10,0.02319895475842697,0.004947134844522485,0.04175452890412323
Pillow_G-test,saliency_mean,structural_clutter_index,False,6250,10,0.12006955988402124,0.09967133412888429,0.13870551755803376
Pillow_G-test,saliency_mean,geometric_order_index,False,6250,10,-0.2595568816673588,-0.2788554201667484,-0.23837508716591724
Pillow_G-test,saliency_mean,palette_coherence_index,False,6250,10,0.019547914480492864,-0.0022629660343476896,0.042107324094719824
Pillow_G-test,saliency_mean,visual_salience_index,False,6250,10,-0.08970927028541688,-0.11867796913840879,-0.06305382396409158
Pillow_G-test,saliency_mean,focal_hierarchy_index,True,6250,10,-0.015157046052237434,-0.05098142576855051,0.013914238629774494
Pillow_G-test,saliency_std,structural_clutter_index,False,6250,10,0.022167532687097712,0.002293054422515721,0.04066828754796847
Pillow_G-test,saliency_std,geometric_order_index,False,6250,10,-0.18791625014413046,-0.2067517601511026,-0.16885509305109103
Pillow_G-test,saliency_std,palette_coherence_index,False,6250,10,0.005804820712216504,-0.017267511774065002,0.029434763917775768
Pillow_G-test,saliency_std,visual_salience_index,False,6250,10,-0.08580068781259007,-0.11606788285356566,-0.05578222052619626
Pillow_G-test,saliency_std,focal_hierarchy_index,True,6250,10,-0.07437578675454445,-0.10704707925665954,-0.04566598008794834
Pillow_G-test,fg_bg_ratio,structural_clutter_index,False,6250,10,0.1553107234773522,0.12487895691720372,0.18200204088185523
Pillow_G-test,fg_bg_ratio,geometric_order_index,False,6250,10,-0.20634472262049172,-0.22615920264386502,-0.18547339206059854
Pillow_G-test,fg_bg_ratio,palette_coherence_index,False,6250,10,-0.012503680665266954,-0.03197931320104842,0.00905984442234102
Pillow_G-test,fg_bg_ratio,visual_salience_index,False,6250,10,-0.050888869101343874,-0.07552305367108843,-0.028160775790622112
Pillow_G-test,fg_bg_ratio,focal_hierarchy_index,True,6250,10,0.04497893934595334,0.006325473633353634,0.07633363937575349
Pillow_G-test,rule_of_thirds,structural_clutter_index,False,6250,10,-0.14068915079253994,-0.16308326874670118,-0.1168099977121951
Pillow_G-test,rule_of_thirds,geometric_order_index,True,6250,10,0.2895914215508911,0.2777327534019201,0.3048285320138858
Pillow_G-test,rule_of_thirds,palette_coherence_index,False,6250,10,-0.08868751709323358,-0.11115960625437844,-0.06398444090512963
